Accession	Virus Name	Virus Taxonomic ID	Host Taxonomic ID	Completeness	Isolate Collection date	Release date
OK254828.1	rhinovirus A30	185901	9606.0	COMPLETE	2021-06-28	2021-12-11T00:00:00Z
OK254830.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254831.1	rhinovirus A46	167324	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254832.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-06-21	2021-12-11T00:00:00Z
OK254833.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK254835.1	rhinovirus A31	185902	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254837.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK254838.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-28	2021-12-11T00:00:00Z
OK254839.1	rhinovirus A23	12135	9606.0	COMPLETE	2021-06-21	2021-12-11T00:00:00Z
OK254842.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK254843.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-29	2021-12-11T00:00:00Z
OK254845.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK254846.1	rhinovirus B6	147681	9606.0	COMPLETE	2021-06-29	2021-12-11T00:00:00Z
OK254847.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254849.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-06-29	2021-12-11T00:00:00Z
OK254850.1	rhinovirus C7	1219379	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254851.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254852.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK254854.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-29	2021-12-11T00:00:00Z
OK254857.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK254858.1	rhinovirus C40	1219406	9606.0	COMPLETE	2021-06-29	2021-12-11T00:00:00Z
OK254859.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-29	2021-12-11T00:00:00Z
OK254860.1	rhinovirus A23	12135	9606.0	COMPLETE	2021-06-28	2021-12-11T00:00:00Z
OK254861.1	rhinovirus A25	185898	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254862.1	rhinovirus A49	44131	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254864.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-28	2021-12-11T00:00:00Z
OK254866.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK254867.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254868.1	rhinovirus A24	185897	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK254869.1	rhinovirus A30	185901	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254870.1	rhinovirus A11	39767	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254873.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-21	2021-12-11T00:00:00Z
OK254875.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-29	2021-12-11T00:00:00Z
OK254876.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254877.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-28	2021-12-11T00:00:00Z
OK254878.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-06-28	2021-12-11T00:00:00Z
OK254879.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254880.1	rhinovirus A30	185901	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254881.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK254882.1	rhinovirus A61	185920	9606.0	COMPLETE	2021-06-21	2021-12-11T00:00:00Z
OK334537.1	Coxsackievirus A5	42786	9606.0	COMPLETE	2017-04	2021-10-17T00:00:00Z
OK334538.1	Coxsackievirus A5	42786	9606.0	COMPLETE	2017-04	2021-10-17T00:00:00Z
OK539460.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539461.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-10	2021-12-11T00:00:00Z
OK539462.1	rhinovirus A78	147685	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539463.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK539464.1	rhinovirus A67	185924	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK539465.1	rhinovirus A20	147675	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539466.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539467.1	rhinovirus A78	147685	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539468.1	rhinovirus A80	185934	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK539469.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539470.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539471.1	rhinovirus B27	185900	9606.0	COMPLETE	2021-07-10	2021-12-11T00:00:00Z
OK539472.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-07-10	2021-12-11T00:00:00Z
OK539473.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539474.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539475.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-02	2021-12-11T00:00:00Z
OK539476.1	rhinovirus A28	147672	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539477.1	rhinovirus A20	147675	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539478.1	rhinovirus A22	185896	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539479.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539480.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539481.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539482.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539484.1	rhinovirus A24	185897	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539485.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-02	2021-12-11T00:00:00Z
OK539486.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539487.1	rhinovirus A66	185923	9606.0	COMPLETE	2021-07-02	2021-12-11T00:00:00Z
OK539488.1	rhinovirus B27	185900	9606.0	COMPLETE	2021-07-02	2021-12-11T00:00:00Z
OK539489.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK539490.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-02	2021-12-11T00:00:00Z
OK539491.1	rhinovirus A39	185907	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539492.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539493.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539495.1	rhinovirus A22	185896	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK539496.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539497.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK539498.1	rhinovirus A39	185907	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539499.1	rhinovirus C33	2045074	9606.0	COMPLETE	2021-07-02	2021-12-11T00:00:00Z
OK539500.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-02	2021-12-11T00:00:00Z
OK539501.1	rhinovirus A23	12135	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539502.1	rhinovirus B6	147681	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539503.1	rhinovirus A39	185907	9606.0	COMPLETE	2021-07-02	2021-12-11T00:00:00Z
OK539504.1	rhinovirus A80	185934	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK539505.1	rhinovirus A54	185914	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539506.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-10	2021-12-11T00:00:00Z
OK539507.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-02	2021-12-11T00:00:00Z
OK539508.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539509.1	rhinovirus C1	1219416	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539510.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-07-10	2021-12-11T00:00:00Z
OK539511.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK539512.1	rhinovirus A25	185898	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539513.1	rhinovirus A67	185924	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK539514.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OK649359.1	rhinovirus B6	147681	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649360.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-18	2021-12-11T00:00:00Z
OK649361.1	rhinovirus A29	44129	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OK649362.1	rhinovirus A24	185897	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649363.1	rhinovirus C42	1219407	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649364.1	rhinovirus A29	44129	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649365.1	rhinovirus B27	185900	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649366.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-18	2021-12-11T00:00:00Z
OK649367.1	rhinovirus A61	185920	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649370.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649371.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-28	2021-12-11T00:00:00Z
OK649372.1	rhinovirus A39	185907	9606.0	COMPLETE	2021-06-28	2021-12-11T00:00:00Z
OK649373.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649377.1	rhinovirus A23	12135	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649378.1	rhinovirus A66	185923	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649380.1	rhinovirus A78	147685	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649381.1	rhinovirus A67	185924	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649382.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649385.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-06-09	2021-12-11T00:00:00Z
OK649386.1	rhinovirus C43	1219413	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649387.1	rhinovirus A25	185898	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649388.1	rhinovirus A25	185898	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649389.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649391.1	rhinovirus C9	1220265	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649392.1	rhinovirus A94	185941	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649393.1	rhinovirus A24	185897	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649394.1	rhinovirus B6	147681	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649399.1	rhinovirus A21	44128	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649400.1	rhinovirus B27	185900	9606.0	COMPLETE	2021-07-03	2021-12-11T00:00:00Z
OK649401.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649403.1	rhinovirus B6	147681	9606.0	COMPLETE	2021-06-28	2021-12-11T00:00:00Z
OK649404.1	rhinovirus A23	12135	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649405.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649406.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649407.1	rhinovirus C11	1240004	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649409.1	rhinovirus A78	147685	9606.0	COMPLETE	2021-06-09	2021-12-11T00:00:00Z
OK649410.1	rhinovirus B6	147681	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649413.1	rhinovirus B6	147681	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649414.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-18	2021-12-11T00:00:00Z
OK649415.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649416.1	rhinovirus C15	1418033	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649417.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OK649418.1	rhinovirus A78	147685	9606.0	COMPLETE	2021-06-28	2021-12-11T00:00:00Z
OK649420.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649421.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649422.1	rhinovirus C11	1240004	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649423.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-16	2021-12-11T00:00:00Z
OK649425.1	rhinovirus A25	185898	9606.0	COMPLETE	2021-06-18	2021-12-11T00:00:00Z
OL133724.1	rhinovirus A78	147685	9606.0	COMPLETE	2021-06-22	2021-12-11T00:00:00Z
OL133726.1	rhinovirus A30	185901	9606.0	COMPLETE	2021-06-18	2021-12-11T00:00:00Z
OL133727.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133729.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-21	2021-12-11T00:00:00Z
OL133730.1	rhinovirus C42	1219407	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OL133731.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-03	2021-12-11T00:00:00Z
OL133732.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-17	2021-12-11T00:00:00Z
OL133733.1	rhinovirus A49	44131	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133734.1	rhinovirus A49	44131	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133735.1	rhinovirus A24	185897	9606.0	COMPLETE	2021-07-10	2021-12-11T00:00:00Z
OL133736.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133737.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-03	2021-12-11T00:00:00Z
OL133738.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-06-21	2021-12-11T00:00:00Z
OL133739.1	rhinovirus A9	185891	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133740.1	rhinovirus A11	39767	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133741.1	rhinovirus A49	44131	9606.0	COMPLETE	2021-07-10	2021-12-11T00:00:00Z
OL133742.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133744.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133745.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-03	2021-12-11T00:00:00Z
OL133746.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133747.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OL133749.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OL133750.1	rhinovirus A60	185919	9606.0	COMPLETE	2021-06-21	2021-12-11T00:00:00Z
OL133751.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133752.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133753.1	rhinovirus A28	147672	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133755.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-17	2021-12-11T00:00:00Z
OL133756.1	rhinovirus C9	1220265	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133757.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-07-14	2021-12-11T00:00:00Z
OL133758.1	rhinovirus A11	39767	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133760.1	rhinovirus C1	1219416	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133761.1	rhinovirus B6	147681	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133763.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133764.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2021-12-11T00:00:00Z
OL133765.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL133766.1	rhinovirus B6	147681	9606.0	COMPLETE	2021-07-15	2021-12-11T00:00:00Z
OL357657.1	Coxsackievirus A2	33757	9606.0	COMPLETE	2020-12-05	2022-08-27T00:00:00Z
OL357658.1	Coxsackievirus A2	33757	9606.0	COMPLETE	2020-12-10	2022-08-27T00:00:00Z
OL357659.1	Coxsackievirus A2	33757	9606.0	COMPLETE	2019-08-20	2022-08-27T00:00:00Z
OL357660.1	Coxsackievirus A2	33757	9606.0	COMPLETE	2020-10-10	2022-08-27T00:00:00Z
OL365066.1	rhinovirus C15	1418033	9606.0	COMPLETE	2021-06-15	2022-01-04T00:00:00Z
OL365067.1	rhinovirus B6	147681	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL365068.1	rhinovirus C8	1219380	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL365069.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-15	2022-01-04T00:00:00Z
OL365070.1	rhinovirus C17	1219404	9606.0	COMPLETE	2021-06-28	2022-01-04T00:00:00Z
OL365071.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-15	2022-01-04T00:00:00Z
OL519574.1	Coxsackievirus A4	42785	9606.0	COMPLETE	2018	2022-01-06T00:00:00Z
OL519576.1	Coxsackievirus A4	42785	9606.0	COMPLETE	2018	2022-01-06T00:00:00Z
OL519577.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018	2022-01-06T00:00:00Z
OL519578.1	Coxsackievirus A4	42785	9606.0	COMPLETE	2018	2022-01-06T00:00:00Z
OL519579.1	Coxsackievirus A9	12067	9606.0	COMPLETE	2018	2022-01-06T00:00:00Z
OL519580.1	Coxsackievirus A2	33757	9606.0	COMPLETE	2018	2022-01-06T00:00:00Z
OL614976.1	Echovirus E7	46018	9606.0	COMPLETE	2016-09-29	2022-12-06T00:00:00Z
OL638403.1	rhinovirus A28	147672	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638404.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638405.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638406.1	rhinovirus A21	44128	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638407.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638408.1	rhinovirus A29	44129	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638410.1	rhinovirus B6	147681	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638411.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638412.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL638413.1	rhinovirus A29	44129	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638415.1	rhinovirus B6	147681	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL638417.1	rhinovirus A13	185893	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638418.1	rhinovirus A25	185898	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638419.1	rhinovirus A24	185897	9606.0	COMPLETE	2021-06-18	2022-01-04T00:00:00Z
OL638420.1	rhinovirus A39	185907	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638421.1	rhinovirus B6	147681	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638422.1	rhinovirus A23	12135	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL638423.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-02	2022-01-04T00:00:00Z
OL638424.1	rhinovirus A80	185934	9606.0	COMPLETE	2021-06-21	2022-01-04T00:00:00Z
OL638425.1	rhinovirus A59	185918	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638426.1	rhinovirus C42	1219407	9606.0	COMPLETE	2021-06-18	2022-01-04T00:00:00Z
OL638428.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638429.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-02	2022-01-04T00:00:00Z
OL638431.1	rhinovirus A67	185924	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638432.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638433.1	rhinovirus C15	1418033	9606.0	COMPLETE	2021-06-18	2022-01-04T00:00:00Z
OL638434.1	rhinovirus A39	185907	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638435.1	rhinovirus B6	147681	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL638436.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638437.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL638438.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-02	2022-01-04T00:00:00Z
OL638440.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638441.1	rhinovirus B6	147681	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL638444.1	rhinovirus A39	185907	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638445.1	rhinovirus B6	147681	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL638446.1	rhinovirus A39	185907	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL638447.1	rhinovirus B6	147681	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638449.1	rhinovirus A58	44133	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638450.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL638451.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638452.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638453.1	rhinovirus C31	2045073	9606.0	COMPLETE	2021-06-18	2022-01-04T00:00:00Z
OL638455.1	rhinovirus B6	147681	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL638456.1	rhinovirus A29	44129	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638458.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638459.1	rhinovirus A20	147675	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638460.1	rhinovirus A29	44129	9606.0	COMPLETE	2021-06-14	2022-01-04T00:00:00Z
OL638461.1	rhinovirus A29	44129	9606.0	COMPLETE	2021	2022-01-04T00:00:00Z
OL638462.1	rhinovirus A31	185902	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638463.1	rhinovirus A23	12135	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL638464.1	rhinovirus B6	147681	9606.0	COMPLETE	2021-06-18	2022-01-04T00:00:00Z
OL638465.1	rhinovirus A101	1219381	9606.0	COMPLETE	2021-07-02	2022-01-04T00:00:00Z
OL638466.1	rhinovirus A1B	2777147	9606.0	COMPLETE	2021-07-10	2022-01-04T00:00:00Z
OL770290.1	rhinovirus B52	147677	9606.0	COMPLETE	2019	2022-02-05T00:00:00Z
OL770292.1	rhinovirus A9	185891	9606.0	COMPLETE	2019	2022-02-05T00:00:00Z
OL839934.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-05-14	2022-08-27T00:00:00Z
OL839935.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-06-10	2022-08-27T00:00:00Z
OL839936.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-06-20	2022-08-27T00:00:00Z
OL839937.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-06-10	2022-08-27T00:00:00Z
OL839938.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-07-01	2022-08-27T00:00:00Z
OL839939.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-12-02	2022-08-27T00:00:00Z
OL839940.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-12-02	2022-08-27T00:00:00Z
OL839941.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-07-29	2022-08-27T00:00:00Z
OL839942.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-05-23	2022-08-27T00:00:00Z
OL839943.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-06-11	2022-08-27T00:00:00Z
OL839944.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-06-25	2022-08-27T00:00:00Z
OL839945.1	Coxsackievirus A6	86107	9606.0	COMPLETE	2018-05-14	2022-08-27T00:00:00Z
